,City,Borough,Neighborhood,Latitude,Longitude,Cluster Label,Top 10
29,Helsinki/Kami,48,VARTIOSAARI,60.1842356,25.0769141,6.0,"Summer Camp,Scenic Lookout,Playground,Island,Farm,Boat or Ferry,Accessories Store,African Restaurant,American Restaurant,Antique Shop"
30,Helsinki/Kami,25,KÄPYLÄ,60.215684200000005,24.952786399999997,3.0,"Bus Stop,Grocery Store,Scenic Lookout,Scandinavian Restaurant,Kebab Restaurant,Gym Pool,Flower Shop,Coffee Shop,Café,Accessories Store"
31,Helsinki/Kami,05,PUNAVUORI,60.1612371,24.9365046,6.0,"Beer Bar,Scandinavian Restaurant,Sushi Restaurant,Hotel,Bakery,Park,Coffee Shop,Pastry Shop,Mexican Restaurant,Italian Restaurant"
32,Helsinki/Kami,26,KOSKELA,60.2187652,24.968244100000003,3.0,"Bus Stop,Soccer Field,Scenic Lookout,Pizza Place,Grocery Store,Go Kart Track,Café,Accessories Store,African Restaurant,American Restaurant"
33,Helsinki/Kami,19,MUSTIKKAMAA-KORKEASAARI,60.176892599999995,24.99019379294,6.0,"Zoo Exhibit,Playground,Theme Park,Skating Rink,Restaurant,Outdoor Gym,Café,Beach,Accessories Store,African Restaurant"
34,Helsinki/Kami,13,ETU-TÖÖLÖ,60.1740311,24.9223027,6.0,"Scandinavian Restaurant,Bakery,Gym,Sushi Restaurant,Restaurant,Pub,Plaza,Café,Coffee Shop,Yoga Studio"
35,Helsinki/Kami,09,KAIVOPUISTO,60.1568425,24.9567212,6.0,"Coffee Shop,Park,Monument / Landmark,Pier,Grocery Store,Ice Cream Shop,Boat or Ferry,Pharmacy,Plaza,Nightclub"
36,Helsinki/Kami,49,LAAJASALO,60.1732049,25.044919699999998,3.0,"Bus Stop,Soccer Field,Park,Flower Shop,Accessories Store,African Restaurant,American Restaurant,Antique Shop,Aquarium,Arcade"
37,Helsinki/Kami,44,TAMMISALO,60.1914529,25.059291899999998,6.0,"Park,Community Center,Canal,Baseball Field,Accessories Store,African Restaurant,American Restaurant,Antique Shop,Aquarium,Arcade"
38,Helsinki/Kami,40,SUUTARILA,60.283018999999996,25.0064817,6.0,"Sandwich Place,Playground,Pizza Place,Hardware Store,Grocery Store,Accessories Store,African Restaurant,American Restaurant,Antique Shop,Aquarium"
39,Helsinki/Kami,51,SANTAHAMINA,60.15247610000001,25.049372,6.0,"Soccer Field,Museum,Lounge,Fraternity House,Fast Food Restaurant,Accessories Store,African Restaurant,American Restaurant,Antique Shop,Aquarium"
40,Helsinki/Kami,02,KLUUVI,60.170778299999995,24.9473293,6.0,"Coffee Shop,Café,Scandinavian Restaurant,Chinese Restaurant,Hotel,Park,Furniture / Home Store,Gym / Fitness Center,Theater,Boutique"
41,Helsinki/Kami,53,ULKOSAARET,60.101523,25.050689000000002,6.0,"Sauna / Steam Room,Soccer Field,Historic Site,Buffet,Beach,Accessories Store,African Restaurant,American Restaurant,Antique Shop,Aquarium"
42,Helsinki/Kami,50,VILLINKI,60.16199029999999,25.1289661549128,,
43,Helsinki/Kami,36,VIIKKI,60.225892,25.0222642,3.0,"Bus Stop,Recreation Center,Italian Restaurant,Grocery Store,Farm,Dog Run,Accessories Store,African Restaurant,American Restaurant,Antique Shop"
44,Helsinki/Kami,14,TAKA-TÖÖLÖ,60.1853441,24.9167329,6.0,"Park,Indian Restaurant,Sushi Restaurant,Soccer Stadium,Café,Music Venue,Thai Restaurant,Himalayan Restaurant,Grocery Store,Beer Bar"
45,Helsinki/Kami,29,HAAGA,60.218978899999996,24.8976472293573,3.0,"Bus Stop,Sushi Restaurant,Supermarket,Shoe Repair,Recreation Center,Plaza,Pizza Place,Garden,Café,Bistro"
46,Helsinki/Kami,01,KRUUNUNHAKA,60.172870200000006,24.9547326,6.0,"Boat or Ferry,Bar,Café,Theater,History Museum,Scandinavian Restaurant,Indie Movie Theater,Pizza Place,Chinese Restaurant,Coffee Shop"
47,Helsinki/Kami,54,VUOSAARI,60.2083483,25.1435537,6.0,"Café,Grocery Store,Bus Stop,Pizza Place,Furniture / Home Store,Bike Shop,Bookstore,Cafeteria,Casino,Clothing Store"
48,Helsinki/Kami,11,KALLIO,60.183981599999996,24.952451500000002,6.0,"Bar,Bakery,Café,Park,Grocery Store,Thai Restaurant,Beer Bar,Pizza Place,Record Shop,Sauna / Steam Room"
49,Helsinki/Kami,45,VARTIOKYLÄ,60.2119555,25.0814407023908,6.0,"Coffee Shop,Grocery Store,Gym / Fitness Center,Sushi Restaurant,Sporting Goods Shop,Clothing Store,Middle Eastern Restaurant,Women's Store,Gym Pool,Café"
50,Helsinki/Kami,38,MALMI,60.250761100000005,25.0085738,6.0,"Gym / Fitness Center,Coffee Shop,Vegetarian / Vegan Restaurant,Beer Bar,Café,Chinese Restaurant,Cultural Center,Fast Food Restaurant,Himalayan Restaurant,Thai Restaurant"
51,Helsinki/Kami,41,SUURMETSÄ,60.2675853,25.061563,3.0,"Bus Stop,Soccer Field,Skating Rink,Recreation Center,Grocery Store,Flower Shop,Accessories Store,African Restaurant,American Restaurant,Antique Shop"
52,Helsinki/Kami,39,TAPANINKYLÄ,60.26117829999999,25.0109853,3.0,"Bus Stop,Park,Gourmet Shop,Accessories Store,African Restaurant,American Restaurant,Antique Shop,Aquarium,Arcade,Art Gallery"
53,Helsinki/Kami,17,PASILA,60.197873,24.9322653,6.0,"Supermarket,Toy / Game Store,Gym / Fitness Center,Bridge,Cafeteria,Climbing Gym,Comedy Club,Garden,Gym,Italian Restaurant"
54,Helsinki/Kami,28,OULUNKYLÄ,60.2294429,24.9635828,3.0,"Bus Stop,Pizza Place,Supermarket,Recreation Center,Park,Outdoor Sculpture,Irish Pub,Grocery Store,Chinese Restaurant,Accessories Store"
55,Helsinki/Kami,04,KAMPPI,60.1685348,24.9304942,6.0,"Scandinavian Restaurant,Art Museum,Wine Bar,Bakery,Beer Bar,Coffee Shop,Art Gallery,Restaurant,Gym / Fitness Center,Gym"
56,Helsinki/Kami,23,TOUKOLA,60.20883570000001,24.9725649,6.0,"Grocery Store,Park,Furniture / Home Store,Gift Shop,Art Museum,Bus Stop,Café,College Cafeteria,Comic Shop,Flea Market"
57,Helsinki/Kami,57,TALOSAARI,60.243624100000005,25.201558300000002,4.0,"Stables,Accessories Store,African Restaurant,American Restaurant,Antique Shop,Aquarium,Arcade,Art Gallery,Art Museum,Arts & Crafts Store"
58,Helsinki/Kami,06,EIRA,60.156191099999994,24.9383747,6.0,"Park,Scandinavian Restaurant,Italian Restaurant,Boat or Ferry,Café,French Restaurant,Ice Cream Shop,Bakery,Playground,Modern European Restaurant"
59,Helsinki/Kami,32,KONALA,60.238550399999994,24.846064600000002,6.0,"Supermarket,Pizza Place,Chinese Restaurant,Cafeteria,Automotive Shop,Paper / Office Supplies Store,Motorcycle Shop,Clothing Store,Café,Bus Stop"
